Year,Ticker,Company,dldte,company status,dlrsn,Current Assets(act),Assets Total(at),Capital Expenditures (capx),Common Equity Total (ceq),Cash and Short-Term Investments (che),Debt in Current Liabilities - Total (dlc),Long-Term Debt - Issuance (dltis),Long-Term Debt - Reduction (dltr),Long-Term Debt - Total (dltt),Cash Dividends Paid (dv),ebit,ebitda,Gross Profit (gp),Inventories - Total (invt),Short-Term Investments - Total (ivst),Current Liabilities - Total (lct),Liabilities - Total (lt),Net Income/Loss (ni),Notes Payable - Short-Term Borrowings (np),Operating Activities - Net Cash Flow (oancf),Operating Income After Depreciation (oiadp),"Property, Plant, and Equipment - Net (ppent)",Retained Earnings (re),Receivables - Total (rect),Revenue - Total (revt),Sales/Turnover - Net (sale),Stockholders Equity - Parent (seq),Special Items (spi),Deferred Taxes and Investment Tax Credit (txditc),Working Capital (wcap),Market Value - Total (mkvalt),Price Close - Fiscal Year (prcc_f),act_scaled,che_scaled,lct_scaled,dlc_scaled,np_scaled,wcap_scaled,ivst_scaled,ni_scaled,ebit_scaled,ebitda_scaled,gp_scaled,log_revt,oiadp_scaled,dltt_scaled,lt_scaled,ceq_scaled,seq_scaled,txditc_scaled,log_at,rect_scaled,invt_scaled,ppent_scaled,sale_scaled,oancf_scaled,capx_scaled,dv_scaled,dltr_scaled,dltis_scaled,log_mkvalt,prcc_f_scaled,re_scaled,spi_scaled,Market Value - Total (mkvalt)_naflag,Price Close - Fiscal Year (prcc_f)_naflag,Operating Activities - Net Cash Flow (oancf)_naflag,Deferred Taxes and Investment Tax Credit (txditc)_naflag,Retained Earnings (re)_naflag
1995.0,3FINE,FINE HOST CORP,2000-07-17,I,2.0,12.694,60.581,3.329,11.381,0.634,4.726,8.58,5.825,24.205,0.0,6.26,9.848,13.474,2.099,0.0,17.193,47.819,2.196,0.0,2.971,6.26,15.829,2.617,8.068,95.462,95.462,12.762,0.0,6.421,-4.499,8.1432,19.25,0.209537644,0.036875473,0.283801852,0.078011258,0.0,-0.074264208,0.0,0.036248989,0.103332728,0.205943244,0.141145168,4.569149148,0.103332728,2.126790264,0.789339892,0.187864182,1.121342589,0.105990327,4.120353381,0.084515305,0.021987807,0.261286542,1.575774583,0.04904177877552368,1.120498149,0.0,0.240652758,0.141628563,2.097183223155993,1.925,0.04319836252290322,0.0,0,0,0,0,0
1996.0,3FINE,FINE HOST CORP,2000-07-17,I,2.0,21.73,95.993,3.534,28.544,4.747,3.309,27.844,30.857,37.264,0.0,-3.683,-0.146,15.358,3.26,0.0,25.483,67.449,-4.441,0.0,-7.655,-3.683,17.3,-13.599,12.065,130.639,130.639,28.544,0.0,4.702,-3.753,8.1432,19.25,0.226370673,0.18628105,0.265467274,0.034471264,0.0,-0.039096601,0.0,-0.04626379,-0.038367381,-0.002164598,0.117560606,4.880063328,-0.038367381,1.305493274,0.702644985,0.297355015,1.0,0.048982738,4.574638811,0.092353738,0.024954263,0.180221474,1.360922151,-0.07974539810194493,-0.461659046,0.0,0.82806462,0.290062817,2.097183223155993,1.6041666666666667,-0.1416665798547811,0.0,0,0,0,0,0
1997.0,3FINE,FINE HOST CORP,2000-07-17,I,2.0,147.615,290.178,8.187,65.464,109.722,2.683,240.247,112.829,180.761,0.0,-17.601,-8.218,24.597,6.241,0.0,43.953,224.714,-23.821,0.0,-23.908,-17.601,24.269,-37.42,29.712,275.068,275.068,65.464,-9.907,0.0,103.662,8.1432,10.125,0.508705002,2.496348372,0.151469098,0.009246049,0.0,0.357235903,0.0,-0.082090992,-0.060655873,-0.03657093,0.089421525,5.620647212,-0.060655873,2.761227545,0.77440054,0.22559946,1.0,0.0,5.673934764,0.108016927,0.022688935,0.083634872,0.947928513,-0.08239080840036116,-0.342437678,0.0,0.624188846,0.827929753,2.097183223155993,0.7168141592920354,-0.12895533086588232,-0.034141113,0,0,0,0,0
1998.0,3FINE,FINE HOST CORP,2000-07-17,I,2.0,113.006,243.123,4.679,27.364,67.178,2.622,0.0,2.993,177.805,0.0,-9.357,0.7,34.635,6.197,0.0,37.954,215.759,-38.1,0.0,-27.515,-9.357,20.563,-75.52,37.09,327.121,327.121,27.364,-22.909,0.0,75.052,8.1432,0.9,0.464809993,1.769984718,0.156110282,0.010784665,0.0,0.308699712,0.0,-0.156710801,-0.038486692,0.003244361,0.105878253,5.793382443,-0.038486692,6.497770794,0.887447917,0.112552083,1.0,0.0,5.497672197,0.113383121,0.01894406,0.084578588,1.345495901,-0.11317316749135212,-0.170052699,0.0,0.016833047,0.0,2.097183223155993,0.060000000000000005,-0.3106246632363043,-0.094228024,0,0,0,0,0
1996.0,3LTCW,LETS TALK CELLULAR &WIRELESS,2000-09-18,I,2.0,3.279,6.646,0.594,0.693,1.357,0.942,0.3,0.208,0.474,0.0,0.258,0.483,7.084,1.21,0.0,2.5,3.016,0.066,0.827,0.252,0.258,1.325,0.429,0.621,13.593,13.593,3.63,0.0,0.006,0.779,39.9219,4.5625,0.493379476,0.5428,0.376166115,0.141739392,0.124435751,0.117213361,0.0,0.009930785,0.038820343,0.160145889,0.521150592,2.680541962,0.038820343,0.683982684,0.453806801,0.104273247,5.238095238,0.000902799,2.034182635,0.045685279,0.089016406,0.199368041,2.0452904,0.037917544387601566,2.357142857,0.0,0.438818565,0.045139934,3.6869250455010287,0.3802083333333333,0.06455010532651219,0.0,0,0,0,0,0
1997.0,3LTCW,LETS TALK CELLULAR &WIRELESS,2000-09-18,I,2.0,14.132,34.538,3.649,6.61,1.08,2.013,2.601,0.936,14.383,0.0,0.561,1.43,15.239,5.712,0.0,12.519,27.928,-0.046,1.023,-0.472,0.561,5.297,0.383,5.998,30.062,30.062,6.61,-0.264,0.953,1.613,39.9219,4.5625,0.409172506,0.086268871,0.362470323,0.05828363,0.029619549,0.046702183,0.0,-0.001331866,0.016242979,0.051203094,0.506919034,3.435985207,0.016242979,2.175945537,0.808616596,0.191383404,1.0,0.027592796,3.570602547,0.19952099,0.190007318,0.153367306,0.870403613,-0.013666106896751405,-7.730932203,0.0,0.065076827,0.075308356,3.6869250455010287,0.3230088495575221,0.011089235045457179,-0.007643755,0,0,0,0,0
1998.0,3LTCW,LETS TALK CELLULAR &WIRELESS,2000-09-18,I,2.0,35.451,86.491,6.899,33.92,1.697,11.046,21.5,15.899,19.596,0.0,2.678,6.834,54.076,16.533,0.0,32.178,52.571,-0.267,9.099,-8.629,2.678,12.17,0.116,15.954,122.487,122.487,33.92,0.0,0.424,3.273,39.9219,4.5625,0.409880797,0.052737895,0.372038709,0.12771271,0.105201697,0.037842088,0.0,-0.003087026,0.030962759,0.129995625,0.441483586,4.816135887,0.030962759,0.577712264,0.607820467,0.392179533,1.0,0.004902244,4.471535931,0.130250557,0.134977589,0.140708282,1.416182031,-0.09976760587806824,-0.799513269,0.0,0.811339049,0.248580777,3.6869250455010287,0.30416666666666664,0.001341180007168376,0.0,0,0,0,0,0
1999.0,AAP,ADVANCE AUTO PARTS INC,,A,,884.372,1348.629,105.017,133.954,22.577,25.905,465.0,339.5,634.664,0.0,20.163,78.31,860.979,749.447,2.365,528.764,1214.675,-25.326,22.24,-20.976,20.163,401.502,-235.726,100.323,2206.945,2206.945,133.954,0.0,0.0,355.608,1626.427,49.75,0.655756327,0.042697687,0.392075211,0.019208396,0.016490821,0.263681116,0.004472695,-0.018779071,0.014950739,0.06446992,0.390122545,7.699817498,0.014950739,4.737924959,0.900673944,0.099326056,1.0,0.0,7.207585019,0.045457861,0.339585717,0.297711231,1.636435966,-0.015553573295546812,-5.006531274,0.0,0.534928718,0.344794603,7.394140863258485,3.772511848341232,-0.17478936015761193,0.0,0,0,0,0,0
2000.0,AAP,ADVANCE AUTO PARTS INC,,A,,897.775,1356.36,70.566,156.271,18.009,20.627,278.884,331.09,579.921,0.0,92.789,159.615,962.721,788.914,0.0,576.235,1200.089,19.559,13.599,103.951,92.789,410.96,-216.181,80.578,2288.022,2288.022,156.271,0.0,0.0,321.54,1626.427,49.75,0.661900233,0.031252874,0.424839276,0.015207614,0.010026099,0.237060957,0.0,0.014420213,0.068410304,0.133002636,0.420765622,7.735879931,0.068410304,3.710995642,0.884786487,0.115213513,1.0,0.0,7.213296916,0.035217319,0.344801755,0.302987407,1.686884013,0.07663968268011442,0.678839068,0.0,0.570922591,0.205612079,7.394140863258485,4.5227272727272725,-0.15938320209973755,0.0,0,0,0,0,0
2001.0,AAP,ADVANCE AUTO PARTS INC,,A,,1135.848,1950.615,63.695,288.571,18.117,58.463,883.104,525.784,932.022,0.0,116.76,187.991,1147.257,982.0,0.0,693.749,1662.044,11.442,34.748,103.536,116.76,711.282,-205.294,93.704,2517.639,2517.639,288.571,-27.647,0.0,442.099,1626.427,49.75,0.582302505,0.026114632,0.355656549,0.029971573,0.017813869,0.226645955,0.0,0.005865842,0.059858045,0.113108317,0.45568765,7.831473955,0.059858045,3.229784005,0.852061529,0.147938471,1.0,0.0,7.576412514,0.037218998,0.390047977,0.364644997,1.290689859,0.0530786444275267,0.615196647,0.0,0.564132606,0.452731062,7.394140863258485,3.457261987491313,-0.10524578145866817,-0.014173479,0,0,0,0,0
