tic,conm,distress,word_count,word_complexity,sentiment,word_similarity
BBY,BEST BUY CO INC,0,612311,2.408582089552239,1,37.2
CAL,CALERES INC,0,489370,2.4356435643564356,2,35.95
CASY,CASEYS GENERAL STORES INC,0,244964,2.417549167927383,-3,30.5
CATO,CATO CORP  -CL A,0,325121,2.5969162995594712,0,39.5
EAT,BRINKER INTL INC,0,342545,2.483558994197292,-1,33.85
BH,BIGLARI HOLDINGS INC,0,907493,1.8875,0,31.4
CBRL,CRACKER BARREL OLD CTRY STOR,0,273484,2.4474074074074075,0,31.75
WEN,WENDY'S CO,0,507184,2.616822429906542,-1,35.1
TGT,TARGET CORP,0,491175,2.5261627906976742,-1,28.55
DDS,DILLARDS INC  -CL A,0,306251,2.4790076335877864,0,37.5
DG,DOLLAR GENERAL CORP,0,331467,2.514657980456026,0,34.35
M,MACY'S INC,0,375034,2.4929906542056073,1,35.5
BDL,FLANIGANS ENTERPRISES INC,0,335369,2.4210526315789473,0,31.5
GAP,GAP INC,0,379476,2.38,0,26.1
GCO,GENESCO INC,0,378996,2.4723809523809526,-2,36.4
HVT,HAVERTY FURNITURE,0,298305,2.4234972677595628,0,28.1
HD,HOME DEPOT INC,0,821990,2.2058823529411766,0,20.6
KR,KROGER CO,0,519428,2.4265402843601898,0,28.45
BBWI,BATH & BODY WORKS INC,0,318285,2.3701298701298703,0,30.45
LOW,LOWE'S COS INC,0,397467,2.493734335839599,0,30.7
MCD,MCDONALD'S CORP,0,412177,2.511520737327189,0,30.0
JWN,NORDSTROM INC,0,378179,2.4893617021276597,-1,40.05
AN,AUTONATION INC,0,487536,2.4483516483516485,2,32.6
ROST,ROSS STORES INC,0,281995,2.4433198380566803,-2,40.3
SSY,SUNLINK HEALTH SYSTEMS INC,0,277451,2.5525040387722133,1,33.25
VLGEA,VILLAGE SUPER MARKET  -CL A,0,1003552,1.7282608695652173,-1,29.9
WMT,WALMART INC,0,378809,2.4910536779324057,-1,29.2
WBA,WALGREENS BOOTS ALLIANCE INC,0,583852,2.5,1,33.75
WMK,WEIS MARKETS INC,0,257084,2.5268389662027833,1,38.0
WSM,WILLIAMS-SONOMA INC,0,256525,2.4466165413533836,0,31.75
FL,FOOT LOCKER INC,0,549205,2.4561797752808987,0,31.7
TJX,TJX COS INC (THE),0,392876,2.546511627906977,0,32.65
ARKR,ARK RESTAURANTS CORP,0,253955,2.4745166959578206,1,27.75
NGVC,NATURAL GROCERS VITAMIN CTGE,0,341710,2.449074074074074,1,34.4
ELA,ENVELA CORP,0,343014,2.48692152917505,1,32.8
BIGGQ,BIG LOTS INC,0,287515,2.443697478991597,1,28.15
IMKTA,INGLES MARKETS INC  -CL A,0,387830,2.4582623509369674,0,37.3
JACK,JACK IN THE BOX INC,0,473989,2.4594594594594597,1,42.15
DXLG,DESTINATION XL GROUP INC,0,412663,2.435185185185185,-3,30.45
CRMT,AMERICA'S CAR-MART INC,0,357875,2.495256166982922,0,37.45
MHGU,MERITAGE HOSPITALITY GROUP,0,56932,2.4847870182555782,-1,7.95
TTSH,TILE SHOP HOLDINGS INC,0,411619,2.430894308943089,-1,34.75
FGPR,FERRELLGAS PARTNERS  -LP,0,432655,2.4541284403669725,0,37.75
ODP,ODP CORP,0,633915,2.428921568627451,-1,41.05
SIG,SIGNET JEWELERS LTD,0,521950,2.3793103448275863,1,26.8
SPWH,SPORTSMANS WAREHOUSE HLDGS,0,321685,2.441860465116279,-1,29.7
SFM,SPROUTS FARMERS MARKET,0,385410,2.396449704142012,0,27.1
NDLS,NOODLES & CO,0,296357,2.528155339805825,1,41.8
MUSA,MURPHY USA INC,0,392340,2.4947145877378434,0,30.75
CANN,TREES CORP,0,364961,2.5135135135135136,0,27.45
BURL,BURLINGTON STORES INC,0,504523,2.3602693602693603,1,33.85
